ID|REDUMP_NAME
SCUS-94470|Ape Escape (USA) (Demo 1) (EDC)
SCUS-94489|Ape Escape (USA) (Demo 2)
SCES-02031|Ape Escape - La Invasion de los Monos (Spain)
SLES-00460|Apocalypse (Europe)
SLED-01610|Apocalypse (Europe) (Demo)
SLES-00834|Apocalypse (France)
SLES-00835|Apocalypse (Germany)
SLES-01463|Apocalypse (Italy)
SLPM-86879|Apocalypse (Japan)
SLUS-00373|Apocalypse (USA)
SLES-03390|Aqua GT (Europe) (En,Fr,De,Es,It,Nl)
SLPS-03095|Aqua Paradise (Japan)
SLPS-00060|Aquanaut no Kyuujitsu (Japan)
SLPS-00406|Aquanaut no Kyuujitsu - Memories of Summer 1996 (Japan)
SLPS-02023|Aquanaut no Kyuujitsu - Memories of Summer 1996 (Japan) (Artdink Best Choice)
SLPS-02141|Aquanaut no Kyuujitsu 2 (Japan)
SLPM-80449|Aquanaut no Kyuujitsu 2 (Japan) (Demo)
SCES-00241|Aquanaut's Holiday (Europe)
SCUS-94603|Aquanaut's Holiday (USA)
SLPS-02731|Aquarian Age - Tokyo Wars (Japan)
SCPS-10008|Arc the Lad (Japan)
SCPS-10040|Arc the Lad - Monster Game with Casino Game (Japan) (Disc 1) (Monster Game)
SCPS-10041|Arc the Lad - Monster Game with Casino Game (Japan) (Disc 2) (Casino Game)
SLUS-01255|Arc the Lad Collection - Arc Arena - Monster Tournament (USA)
SLUS-01224|Arc the Lad Collection - Arc the Lad (USA)
SLUS-01252|Arc the Lad Collection - Arc the Lad II (USA)
SLUS-01253|Arc the Lad Collection - Arc the Lad III (USA) (Disc 1)
SLUS-01254|Arc the Lad Collection - Arc the Lad III (USA) (Disc 2)
SLUS-01256|Arc the Lad Collection - The Making of Arc the Lad (USA)
SCPS-10026|Arc the Lad II (Japan)
SCPS-91071|Arc the Lad II (Japan) (Rev 1)
SCPS-10106|Arc the Lad III (Japan) (Disc 1)
SCPS-91228|Arc the Lad III (Japan) (Disc 1) (Rev 1)
SCPS-10107|Arc the Lad III (Japan) (Disc 2)
SCPS-91229|Arc the Lad III (Japan) (Disc 2) (Rev 1)
SLPS-01267|Arcade Gears - ImageFight & XMultiply (Japan)
SLPS-00928|Arcade Gears - Pu-Li-Ru-La (Japan)
SLPS-00927|Arcade Gears - Wonder 3 (Japan)
SLPM-87067|Arcade Hits - Crazy Climber (Japan)
SLPM-87118|Arcade Hits - Frisky Tom (Japan)
SLPM-87173|Arcade Hits - Magical Drop (Japan)
SLPM-87082|Arcade Hits - Moon Cresta (Japan)
SLPM-86613|Arcade Hits - Raiden (Japan)
SLPM-87228|Arcade Hits - Shienryuu (Japan)
SLPM-87137|Arcade Hits - Sonic Wings Special (Japan)
SLPM-87255|Arcade Hits - Soukyuu Gurentai (Japan)
SLPM-87145|Arcade Hits - Suiko Enbu - Outlaws of the Lost Dynasty (Japan)
SLPM-87270|Arcade Hits - Wolf Fang - Kuuga 2001 (Japan)
SLES-02339|Arcade Party Pak (Europe, Australia)
SLUS-00952|Arcade Party Pak (USA)
