ID|CRC32|MD5|SHA1
SLES-00835|2e7cfc77|bc5b7e75a230b770a71801718cd4d6e1|edf4411c98c76f29a9f4375fb48d2bda1dbe56f9
SLES-02764|cf0f8186|a8acc0ab0703133f0be425193172d50f|e150fb2a9034fe8cae808079d414951796e2828b
SLES-01376|30774ae0|5ff6c4981d973c23231da11c6756711b|cd8330f472f2be9a145ed5897c7a2289702b17e8
SLES-02701|97f1235e|7482a910e113c81d314c0c7c2de01857|519f8d81b2a9e608b98a7532155dde80c1e40b79
SCES-00800|33842c80|fabddacead993b5c74bd30c6faa29545|3f471ac7b0e07c99f54229232e5d33bc575c1788
SCES-01444|a1634986|1c3b77563148bf113dd7cabb1b329969|4687105bd43e1353c319158b8145b39ed13f6900
SCES-00002|6fc86240|afef7794b919ba378eccf534ad337d59|ac60c5db9222f261029e659b3f8dbf7e1276d34e
SLES-02493|a9b7b969|e5d35bc4b02e846e69fad0807c136626|595cb661949de60b6091b81546fd7f42be8a0d3d
SCES-00348|c0d1f294|b487ec0252f3fe6ec5bc3d1d4ba4edee|516894df209d6fe4d0329795bc9f383608111fc8
SCES-00700|809b921f|8d6f2489c1b07bb7a9b2602facf9390a|58685c1047c62ae01381f3cd74067dd37092011a
SLES-00278|75319f07|4e86f58dd0c68654ecabd7e47332aab2|96be6566c80420a909e60fa04fbeb832339ab301
SLES-00991|0709ab19|26fe12b8f9012bed489c744a20badf65|5c42caddf709bd2af5c2d38ca15cac55ee14b2c8
SLES-01389|4ba721fc|f32cbeb2aaa0f409595d7ee30015ff0e|eaa19caf14e3080e6580fa76b6e8319f6b2f094c
SLES-02896|ac333476|2b6164c18ef9fa90a7cdbf76f17e0de8|b79129c99d19499f634951e6c5dd03c4a9122b33
SLES-01726|e49626ab|f7a4b28a004fad3295e5e9c8ebf48d4f|e6960c9669e6309145071c3afdab49071135ec34
SLES-02618|20b05aa9|57df87e2c7c68237dd9df9c269f197bd|435fc465bee6a2c3d9a863671eff124c2125d9d3
SLES-01712|b389f2ec|c92361ec01882f707d88fc153009eefa|9e655ce54e058fef4e4090e3920fa8259c45811e
SLES-02854|3ae057d1|beb374b34c92baea44e69a89bc7c52ea|a611bf4e91408ce62680619a26a82d7ddff9c465
SLES-00962|28fab6af|2ec353a634442cfe43d4eaceca6b68ec|7fbe1446a35f6d977ba814e9a30e81c8f74cba05
SCES-01078|00706286|b938afa64cc57608031f43133db19f14|a793f67a0f1fcd3292075f6ac5cffd346c96c69e
SLES-00174|a64d0a68|76a289321de3db0b68f16a40a2374d92|36863e7ba3644b16498e9b4b6ab2f2e0ebfe5a5e
SLES-01893|6de9150b|a361d79d02a293345f3ecc6de287c99c|53374b25fbd324714c8eea4df3807ec67dcc7aef
SLES-00476|5a14972b|ca719f5cac6303d72b09361146497ba5|63b6146d52c03bf24bf90d075583418efd322ffa
SLES-01010|75463c79|da449799f667879da53d900e9a78ce4b|e13d78eb94be223fcaaaf692735f2beac26ca09c
SLES-03215|9a3d9461|5a9e8f2856c9f072bfaa10fa55d1f179|8e11dd7b2b508e9bc9b65cf29bf1619f695d8d31
SCES-00232|7954cf25|d0d2c61958bf34d26df93fc4fefe510d|8deedd877c51778d39a37f9dc0f8642fcb8f1bae
SLES-01722|c4b6d843|b057e60adc75e53d2586ef5fc7c90000|3f3bfdd11f57d2ec61ec1d848e4b66ee8d800a7b
SLES-02856|4e2ad1f0|c52be9af4c8f9e714d5ee9f462958bc4|4112ca01127daedb8c5c526103dc484695bec381
SLES-02849|c4729778|d5f20bd15d6ef29a3247eb7c8b1362ef|6dd7231ab9df394ba2c98f6a87c76fa70e2bcbe9
SLES-02021|c578440d|e53bbb516152a9a634969da9860e7193|f972abb23e0681fd5881d69f91a36524cae53d74
SLES-02732|b0413968|5e4b39f246ad7cc5635950962eaa88d3|aacf06bafcdd13573ef8236016d30160478dba22
SLES-02140|bd04297e|8c50e1573998b063532836243615e7bc|c7c83322c900fa54864caa55985e919007b8f347
SLES-00971|24387776|3917ddbc8e4cab2d618a6ba7f5ae7623|3d8ed929106636cefaf8b37d187c7c0e26247d9
SCES-01762|a6a7442c|6d03ed6668086f1b90999e1593ddd2f|ea3fdd06c3df57bf9f6bdb02d82b4a43becb4c76
SLES-02529|c5493e27|8bedd6769c155d59c0b298e7b3eea089|d08d41b52a10c6795ed43ac0382c59cc8a8c55a5
SLES-01355|fd7491c0|55a338459f420ed25c1277397a9ac67f|d62c05708b8bdb421e0b408ec917a4a7a1b6291f
SLES-01660|9757393e|8ff8f3a0d92ded97c6f0cfc65bb056d4|86fbe098e790fac7d51422d88458020e8dcd5acf
SLES-02531|06becdc7|df1930b3c8f4c1f51262154096235395|d2b4cddf9177273b195a85c1902ed3d85c35b386
SLES-00228|e1de5533|82e9362e2d07562b95427069de7a5e66|ecf19d25047fdd603d6a0f634c48190d3b6d50df
SCES-00257|07f0613b|ef69c2235bb17c4212cad77bd137ec7c|d6f632ff0dab999cf4fecb9b453d3921c2a1a900
SLES-00974|92d572ae|96e0eba91aad17acc7b830bac6c06b15|e6c993e08d2288aa7f2e9a36061e20cb71537f21
SLES-10974|aa5b82f7|34e1ffcf04d1ccd49b64967d485ee481|74587ba6df33f487807cc5b0ddc92d8099a7f9ec
SCES-00001|b1055459|e98dae18e0268b34f22f39831c766889|33b257edc408aa1d262cf8832be20781051c3ceb
SLES-01011|a55ce1fe|7f5bed25075abde0580f8bb84033a0b3|51d4895e90345aa8dd0f9e6242c7044629f7a53b
SLES-02824|e75c86d7|57971569c14139a3b61c1f16be858b64|f38e4154c5637204cc46c6f6a2ecd2e3eafdb9cb
